ExecuteCores,ExecutorsMemory,numberExecutorOfInstances,SQLParallelism,broadcastHashJoin,broadcastHashJoin_fullOuter,broadcastHashJoin_inner,broadcastHashJoin_leftOuter,broadcastHashJoin_rightOuter,broadcastNestedLoopJoin,broadcastNestedLoopJoin_fullOuter,broadcastNestedLoopJoin_inner,broadcastNestedLoopJoin_leftOuter,broadcastNestedLoopJoin_rightOuter,cartesianProduct,cartesianProduct_fullOuter,cartesianProduct_inner,cartesianProduct_leftOuter,cartesianProduct_rightOuter,sortMergeJoin,sortMergeJoin_fullOuter,sortMergeJoin_inner,sortMergeJoin_leftOuter,sortMergeJoin_rightOuter,shuffleHashJoin,shuffleHashJoin_fullOuter,shuffleHashJoin_inner,shuffleHashJoin_leftOuter,shuffleHashJoin_rightOuter,fullOuter,leftOuter,rightOuter,inner,broadcastExchange,shuffleExchange,hashAggregate,sortAggregate,cast,count,count_distinct,filter,partial_count,partial_count_distinct,partial_sum,sort,sum,union,globalLimit,localLimit,numColumnRelatedTable,sizeRelatedTable,duration
4,8,24,40,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,6,0,0,4,0,0,1,0,1,0,0,0,44,18135436,246
6,12,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1308,110
6,12,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1308,124
4,6,24,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,3,0,0,0,0,0,1,0,0,205,257942568,82
4,6,24,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,142,566969460,667
4,6,24,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,3,0,0,0,0,0,1,0,0,199,191003740,563
6,12,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1308,444
6,12,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1308,441
4,8,24,40,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,6,0,0,4,0,0,1,0,1,0,0,0,44,18120574,314
4,8,24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,5,4,0,0,0,0,1,0,0,75,0,53
